loan_id,customer_id,loan_type,principal_amount,interest_rate,tenor_months,disbursement_date,days_past_due,loan_status
LN000086,CUST00570,Auto,9463.01,13.92,36.0,2024-08-27,0,Active
LN000087,CUST01184,Personal,29978.82,18.4,18.0,2025-07-31,0,Active
LN000088,CUST01173,Education,20992.31,19.08,24.0,2025-12-02,0,Closed
LN000089,CUST00139,Personal,155491.09,8.98,36.0,2024-01-20,0,Active
LN000090,CUST01075,Education,116945.39,13.47,12.0,2024-06-19,0,Active
LN000091,CUST00589,Home,306332.45,20.33,60.0,2024-09-16,0,Active
LN000092,CUST01017,Business,25187.48,18.25,48.0,2024-05-16,0,Active
LN000093,CUST00004,Personal,135205.45,14.07,24.0,2026-05-08,7,Active
LN000094,CUST01148,Auto,32881.52,13.3,6.0,2025-10-27,9,Active
LN000095,CUST00013,Home,123245.65,14.99,18.0,2024-06-29,0,Active
LN000096,CUST00693,Personal,31099.27,16.08,24.0,2025-01-27,16,Active
LN000097,CUST00948,Education,783662.05,19.37,6.0,2024-05-02,0,Active
LN000098,CUST00680,Home,1016301.88,9.54,12.0,2026-03-26,41,Active
LN000099,CUST00798,Home,27611.62,18.05,6.0,2024-09-30,11,Active
LN000100,CUST00762,Auto,693132.51,10.49,18.0,2024-02-03,0,Active
LN000101,CUST00190,Business,605720.33,11.48,6.0,2024-12-30,65,Active
LN000102,CUST00671,Personal,97769.29,21.1,60.0,2024-04-05,47,Active
LN000103,CUST01070,Personal,103533.48,19.11,18.0,2026-05-28,20,Active
LN000104,CUST00640,Home,35383.7,13.68,60.0,2024-10-18,7,Active
LN000105,CUST00904,Auto,13301.43,13.39,18.0,2026-02-01,0,Active
LN000106,CUST01112,Home,177506.54,19.73,18.0,2024-11-16,0,Active
LN000107,CUST00694,Auto,18442.65,21.2,6.0,2025-03-04,0,Active
LN000108,CUST00803,Education,53708.58,19.87,36.0,2024-06-10,23,Active
LN000109,CUST01093,Business,44193.18,15.02,60.0,2024-04-19,3,Active
LN000110,CUST00954,Auto,234631.59,15.2,12.0,2025-10-07,50,Active
LN000111,CUST00677,Personal,915983.64,10.65,24.0,2025-02-22,0,Active
LN000112,CUST00714,Education,38811.88,17.37,12.0,2024-10-21,0,Active
LN000113,CUST00619,Education,7567.46,12.31,24.0,2025-02-14,0,Active
LN000114,CUST00698,Education,54021.74,11.87,48.0,2024-02-19,0,Active
LN000115,CUST00355,Education,25238.29,18.99,6.0,2024-07-16,34,Active
LN000116,CUST00361,Education,661949.75,9.35,6.0,2025-04-12,0,Active
LN000117,CUST00126,Auto,137836.87,14.05,60.0,2025-10-22,89,Active
LN000118,CUST00928,Education,5982.05,17.46,24.0,2025-08-07,7,Active
LN000119,CUST00624,Personal,738176.59,9.21,18.0,2024-05-27,20,Active
LN000120,CUST00757,Education,37886.94,21.75,6.0,2026-04-08,42,Active
LN000121,CUST00808,Business,13914.39,16.13,48.0,2025-07-11,0,Active
LN000122,CUST01138,Business,1170605.6,13.22,18.0,2024-01-20,0,Active
LN000123,CUST00033,Business,34832.45,11.89,24.0,2024-05-24,125,Closed
LN000124,CUST00872,Education,28552.59,10.05,24.0,2025-11-29,0,Active
LN000125,CUST00016,Auto,8045.08,18.06,60.0,2025-01-07,9,Active
LN000126,CUST01164,Personal,235811.61,15.04,18.0,2024-06-10,23,Closed
LN000127,CUST00573,Education,1142983.05,17.53,6.0,2024-12-19,63,Active
LN000128,CUST01105,Personal,34293.81,15.86,36.0,2025-07-17,78,Active
LN000129,CUST00679,Home,688127.78,14.7,60.0,2025-06-05,0,Closed
LN000130,CUST01155,Business,975592.11,11.99,48.0,2026-03-31,19,Closed
LN000131,CUST00588,Education,496725.82,15.51,12.0,2026-03-09,0,Active
LN000132,CUST00527,Education,46634.57,20.25,6.0,2024-05-03,0,Active
LN000133,CUST00536,Auto,49324.53,18.92,24.0,2025-10-03,58,Closed
LN000134,CUST00316,Business,218464.82,20.77,24.0,2024-04-22,0,Active
LN000135,CUST00707,Personal,90031.23,17.37,18.0,2024-08-13,0,Active
LN000136,CUST01091,Business,126873.41,21.52,48.0,2025-05-09,0,Active
LN000137,CUST00920,Education,699496.11,19.2,18.0,2024-07-07,2,Closed
LN000138,CUST00559,Personal,816311.54,13.85,18.0,2025-08-29,0,Active
LN000140,CUST01076,Home,123123.98,20.73,24.0,2024-06-30,0,Active
LN000141,CUST00445,Personal,11332.02,11.23,6.0,2024-08-17,0,Active
LN000142,CUST00379,Home,43949.23,10.55,12.0,2024-06-19,0,Active
LN000143,CUST00875,Home,8755.88,20.41,60.0,2024-07-18,0,Active
LN000144,CUST00124,Auto,680467.11,14.14,18.0,2024-02-20,0,Active
LN000145,CUST01008,Business,147934.34,10.74,36.0,2026-01-05,0,Active
LN000146,CUST00150,Home,134650.61,8.67,48.0,2024-10-24,31,Active
LN000147,CUST00800,Home,703769.6,20.52,48.0,2025-12-28,79,Closed
LN000148,CUST00828,Personal,13433.54,20.09,60.0,2024-03-24,0,Closed
LN000149,CUST01162,Home,36960.93,12.74,18.0,2025-05-30,0,Active
LN000150,CUST00697,Home,81251.83,13.33,24.0,2024-01-22,6,Active
LN000151,CUST00799,Home,84247.62,10.85,48.0,2024-08-25,0,Active
LN000152,CUST00052,Business,9528.69,11.74,12.0,2024-10-02,0,Active
LN000153,CUST00921,Personal,38456.36,18.61,18.0,2026-04-25,0,Active
LN000154,CUST01072,Education,801975.0,19.86,60.0,2024-07-07,0,Active
LN000155,CUST00040,Auto,1178060.18,10.2,6.0,2024-09-06,5,Closed
LN000156,CUST00200,Education,491359.22,9.44,12.0,2024-09-14,0,Active
LN000157,CUST00130,Business,42734.59,19.8,18.0,2025-03-22,0,Active
LN000158,CUST00437,Home,56305.89,15.42,12.0,2024-10-02,0,Active
LN000159,CUST00338,Personal,373276.6,12.6,36.0,2025-09-25,0,Active
LN000160,CUST00998,Auto,104911.16,18.84,6.0,2026-05-26,83,Active
LN000161,CUST00975,Auto,16712.91,20.75,12.0,2026-01-23,17,Active
LN000162,CUST00369,Personal,9994.53,14.54,36.0,2025-01-06,26,Active
LN000163,CUST01086,Education,79846.58,13.64,18.0,2024-09-06,0,Active
LN000164,CUST00231,Business,146984.04,9.07,60.0,2024-06-30,0,Active
LN000165,CUST00430,Education,1113980.38,20.09,18.0,2025-09-17,55,Active
LN000166,CUST00324,Personal,57988.37,19.37,36.0,2025-01-21,0,Active
LN000167,CUST00668,Home,22340.85,12.61,6.0,2024-03-26,0,Active
LN000168,CUST00151,Personal,445597.26,10.02,24.0,2024-10-10,65,Active
LN000169,CUST00938,Home,9344.05,11.77,48.0,2025-11-15,142,Active
LN000170,CUST00228,Auto,642206.36,16.58,24.0,2025-02-17,38,Active
LN000171,CUST00349,Auto,38443.69,9.15,60.0,2024-11-12,0,Active
LN000172,CUST00948,Business,1044877.07,16.51,48.0,2026-05-18,8,Active
LN000173,CUST00306,Personal,8553.61,11.73,24.0,2026-05-27,0,Active
LN000174,CUST00982,Business,31226.31,21.94,6.0,2024-02-11,0,Closed
LN000175,CUST00447,Auto,131240.49,19.72,18.0,2025-05-30,3,Closed
LN000176,CUST01169,Business,9223.58,20.78,6.0,2024-10-12,0,Active
LN000177,CUST00951,Personal,44554.05,16.22,6.0,2024-08-22,0,Active
LN000178,CUST01111,Personal,19262.6,14.37,12.0,2024-03-10,11,Active
LN000179,CUST00106,Business,120604.36,14.49,18.0,2025-05-05,12,Active
LN000180,CUST00420,Education,98921.65,17.99,12.0,2025-06-24,0,Active
LN000181,CUST00430,Home,9690.12,13.69,12.0,2024-04-13,0,Active
LN000182,CUST00708,Education,834835.47,16.61,36.0,2025-01-20,46,Active
LN000183,CUST00754,Personal,33534.68,9.46,60.0,2024-06-22,0,Active
LN000184,CUST00158,Personal,53070.91,9.12,18.0,2025-12-15,16,Active
LN000185,CUST00854,Business,48718.97,12.97,12.0,2024-11-24,0,Active
LN000186,CUST00476,Business,32485.1,12.29,18.0,2024-08-10,21,Active
LN000187,CUST01124,Education,692401.26,8.6,18.0,2025-02-18,0,Active
LN000188,CUST00591,Home,48478.95,13.07,18.0,2026-01-01,0,Active
LN000189,CUST00360,Auto,28070.05,12.46,48.0,2024-06-22,0,Active
LN000190,CUST00758,Personal,141127.98,16.83,36.0,2025-11-03,12,Active
LN000192,CUST00679,Business,49676.76,10.28,18.0,2024-06-09,85,Active
LN000193,CUST00906,Business,564304.88,14.05,6.0,2024-06-26,65,Active
LN000194,CUST00452,Home,899734.28,12.68,6.0,2025-06-01,0,Active
LN000195,CUST00570,Education,127092.75,8.52,6.0,2026-05-09,52,Active
LN000196,CUST00651,Personal,16592.32,9.3,36.0,2024-09-20,72,Active
LN000197,CUST00025,Home,870919.41,13.68,18.0,2025-06-13,234,Closed
LN000198,CUST00907,Business,537505.67,14.16,60.0,2025-12-16,14,Active
LN000199,CUST00973,Education,8608.1,13.29,6.0,2025-06-23,33,Closed
LN000200,CUST00947,Auto,35540.15,13.39,60.0,2024-10-28,0,Active
LN000202,CUST00968,Home,99634.55,10.13,48.0,2024-08-01,0,Active
LN000203,CUST00568,Home,219766.04,10.42,36.0,2026-03-25,19,Active
LN000204,CUST00245,Education,593135.97,15.06,48.0,2024-12-24,0,Active
LN000205,CUST00278,Home,195926.03,16.04,6.0,2025-12-16,0,Active
LN000206,CUST00158,Auto,34353.12,19.92,60.0,2025-11-15,50,Active
LN000207,CUST00617,Home,601427.63,12.22,48.0,2024-06-30,0,Active
LN000208,CUST00764,Auto,978434.42,19.28,18.0,2025-04-06,0,Active
LN000209,CUST01077,Personal,46248.59,14.32,36.0,2024-06-02,0,Active
LN000210,CUST00714,Auto,761308.68,16.61,18.0,2024-06-24,59,Active
LN000211,CUST00624,Personal,111726.16,10.75,60.0,2024-04-30,0,Active
LN000212,CUST00267,Personal,75968.81,13.17,48.0,2025-03-23,0,Active
LN000213,CUST01052,Personal,34062.01,17.1,24.0,2026-04-02,62,Closed
LN000214,CUST00421,Home,23433.3,12.7,12.0,2025-11-09,0,Active
LN000215,CUST00722,Education,108025.68,11.44,60.0,2025-01-05,0,Active
LN000216,CUST00445,Auto,35972.34,10.4,18.0,2025-11-17,78,Closed
LN000217,CUST00973,Auto,178913.56,21.51,36.0,2024-06-17,0,Active
LN000218,CUST00439,Personal,6393.01,13.74,24.0,2025-10-11,41,Active
LN000219,CUST00591,Personal,39029.61,14.69,6.0,2024-05-23,0,Active
LN000220,CUST00910,Home,57601.82,21.4,24.0,2024-11-11,200,Written Off
LN000221,CUST00753,Business,60815.67,19.66,48.0,2026-05-19,13,Active
LN000222,CUST00821,Auto,48251.1,13.76,6.0,2024-10-05,0,Active
LN000223,CUST00252,Business,70116.55,10.58,24.0,2024-01-25,0,Active
LN000224,CUST00820,Education,718790.05,19.75,48.0,2025-01-30,76,Active
LN000225,CUST01003,Auto,467449.91,11.13,48.0,2025-10-08,0,Active
LN000226,CUST00367,Home,509570.38,21.55,48.0,2024-09-20,0,Active
LN000227,CUST01009,Business,514640.89,10.38,18.0,2025-11-07,0,Active
LN000228,CUST00065,Business,807546.04,13.92,24.0,2026-01-31,0,Active
LN000229,CUST00621,Business,33053.27,16.19,24.0,2025-12-15,0,Active
LN000230,CUST01135,Business,22781.2,9.03,36.0,2024-11-26,0,Active
LN000231,CUST00774,Home,15248.74,21.51,18.0,2024-07-09,0,Closed
LN000232,CUST01196,Home,138229.1,20.24,48.0,2024-04-09,0,Active
LN000233,CUST00501,Home,36984.8,19.22,48.0,2025-10-04,30,Active
LN000234,CUST01103,Business,1070945.11,10.51,24.0,2026-04-24,29,Active
LN000235,CUST00649,Home,1180036.75,20.16,24.0,2024-10-25,26,Active
LN000236,CUST00696,Home,96535.1,11.24,18.0,2024-09-10,142,Active
LN000237,CUST01098,Personal,119033.76,15.15,18.0,2025-08-11,0,Active
LN000238,CUST01185,Home,95046.27,14.0,18.0,2024-10-03,0,Active
LN000239,CUST00619,Business,30808.8,21.41,18.0,2024-02-29,11,Active
LN000240,CUST01122,Education,46061.69,14.43,48.0,2026-05-13,49,Active
LN000241,CUST00549,Education,7810.59,20.43,60.0,2024-12-03,60,Active
LN000242,CUST00747,Auto,685954.11,21.01,12.0,2026-01-01,25,Active
LN000243,CUST00132,Business,35947.49,18.26,60.0,2025-11-05,0,Active
LN000244,CUST00489,Personal,110029.22,13.34,12.0,2025-12-30,0,Active
LN000245,CUST00076,Auto,124576.84,21.43,18.0,2025-12-20,0,Active
LN000246,CUST00087,Personal,35456.96,19.68,60.0,2025-01-20,0,Active
LN000247,CUST00834,Personal,165031.04,19.76,48.0,2024-07-14,0,Active
LN000248,CUST01025,Education,116261.9,18.88,48.0,2024-12-14,90,Active
LN000249,CUST00642,Business,954421.73,16.78,36.0,2024-01-31,54,Active
LN000250,CUST00563,Education,662009.2,14.0,18.0,2025-04-09,0,Active
LN000251,CUST00973,Auto,20696.92,10.0,18.0,2025-09-22,0,Active
LN000252,CUST00072,Personal,8254.24,21.39,60.0,2024-07-23,26,Active
LN000253,CUST00744,Auto,8458.79,15.26,36.0,2026-01-28,43,Closed
LN000254,CUST00617,Auto,123287.02,9.48,60.0,2024-02-10,0,Active
LN000255,CUST00833,Personal,72373.53,12.29,60.0,2025-08-25,46,Active
LN000256,CUST00206,Education,124452.76,20.73,18.0,2024-06-16,0,Active
LN000258,CUST01180,Auto,147267.54,17.25,12.0,2026-02-08,0,Active
LN000259,CUST00841,Auto,1083092.03,14.57,24.0,2025-02-24,0,Active
LN000260,CUST00849,Business,806023.06,17.72,24.0,2025-11-27,89,Active
LN000261,CUST00469,Home,51451.12,19.35,12.0,2025-02-13,6,Closed
LN000262,CUST00754,Personal,91825.13,18.97,6.0,2024-10-29,14,Active
LN000263,CUST00460,Home,17792.33,10.31,12.0,2025-11-05,0,Active
LN000264,CUST00580,Business,38689.04,12.79,12.0,2024-07-08,0,Active
LN000265,CUST00924,Business,20017.51,12.23,36.0,2025-05-19,0,Active
LN000266,CUST00435,Business,42770.23,8.55,48.0,2025-05-05,9,Closed
LN000267,CUST00965,Education,927949.26,9.88,48.0,2024-09-19,26,Closed
LN000268,CUST00809,Education,42922.04,12.73,12.0,2025-05-18,0,Active
LN000269,CUST00959,Education,122561.22,20.78,18.0,2026-03-02,0,Active
LN000270,CUST00576,Home,9018.03,17.77,24.0,2025-05-28,69,Active
LN000271,CUST00338,Auto,557031.25,18.0,24.0,2024-05-08,30,Active
LN000272,CUST00471,Home,20567.23,17.5,24.0,2026-04-26,0,Active
LN000273,CUST00905,Business,949089.68,17.98,36.0,2024-06-05,0,Active
LN000274,CUST00418,Auto,260633.17,17.2,60.0,2025-11-29,27,Active
LN000275,CUST00009,Auto,48055.99,15.26,36.0,2024-04-07,0,Closed
LN000276,CUST00054,Personal,630584.59,13.48,48.0,2024-07-04,0,Active
LN000277,CUST00167,Business,204972.77,14.12,48.0,2024-02-02,0,Active
LN000278,CUST00928,Education,1042865.4,17.37,48.0,2024-05-13,0,Active
LN000279,CUST00145,Personal,14708.33,17.65,24.0,2024-09-23,0,Active
LN000280,CUST00427,Business,99007.78,17.3,60.0,2025-04-30,0,Active
LN000281,CUST00886,Education,34017.47,13.83,18.0,2024-02-27,0,Active
LN000282,CUST00795,Education,359176.04,12.38,36.0,2025-08-31,0,Active
LN000283,CUST00873,Home,67812.18,15.46,36.0,2026-04-21,148,Active
LN000284,CUST01075,Business,54787.05,13.62,24.0,2025-08-08,0,Active
LN000285,CUST00616,Home,63854.92,14.08,24.0,2024-12-13,18,Closed
LN000286,CUST00194,Education,574504.23,16.53,48.0,2024-07-25,42,Active
LN000287,CUST00948,Business,21290.1,15.51,12.0,2024-03-18,0,Active
LN000288,CUST00922,Home,39829.61,18.93,18.0,2024-02-25,138,Active
LN000289,CUST00218,Personal,1174814.51,8.73,6.0,2024-12-01,0,Closed
LN000290,CUST00997,Education,997513.31,12.09,60.0,2024-09-06,0,Active
LN000291,CUST00257,Personal,22281.81,15.49,12.0,2026-05-18,53,Active
LN000292,CUST00496,Education,540326.26,12.55,48.0,2024-01-21,0,Active
LN000293,CUST00341,Business,104039.64,8.82,48.0,2024-05-06,211,Closed
LN000294,CUST00803,Personal,136812.88,14.68,6.0,2025-06-25,23,Active
LN000295,CUST01136,Business,468061.52,11.58,24.0,2026-04-25,0,Active
LN000296,CUST01000,Education,52058.47,14.9,6.0,2024-05-31,0,Active
LN000297,CUST00970,Home,27519.78,19.1,36.0,2025-01-11,0,Active
LN000298,CUST00898,Education,148872.63,9.52,12.0,2024-12-29,71,Active
LN000299,CUST00601,Business,13812.49,10.4,24.0,2024-06-03,52,Active
LN000300,CUST00332,Personal,31023.43,10.48,18.0,2025-11-01,5,Active
LN000301,CUST01012,Education,817752.44,17.6,12.0,2025-10-04,0,Closed
LN000302,CUST01032,Home,53787.65,12.42,6.0,2024-02-26,0,Active
LN000303,CUST00697,Education,1084648.19,9.34,6.0,2024-04-05,0,Active
LN000304,CUST00104,Personal,158233.67,14.54,24.0,2024-03-05,117,Active
LN000305,CUST00421,Home,1155830.83,11.77,48.0,2025-12-23,25,Active
LN000306,CUST00686,Auto,85078.46,12.21,60.0,2026-01-27,0,Active
LN000307,CUST00700,Personal,632648.11,14.34,12.0,2024-12-31,0,Active
LN000308,CUST01085,Auto,324037.27,11.32,12.0,2024-03-17,44,Active
LN000309,CUST00741,Personal,26497.27,19.21,12.0,2025-03-05,17,Active
LN000310,CUST00337,Personal,404075.99,11.16,24.0,2026-03-31,21,Active
LN000311,CUST01065,Education,1194560.26,21.75,24.0,2025-03-29,54,Active
LN000312,CUST01081,Business,24664.81,16.51,48.0,2026-01-02,0,Active
LN000313,CUST00708,Auto,49153.0,11.07,60.0,2025-04-13,63,Closed
LN000314,CUST00259,Auto,47466.57,21.46,18.0,2024-11-25,0,Active
LN000315,CUST00058,Auto,39078.96,10.68,18.0,2024-10-03,40,Active
LN000316,CUST00764,Home,904247.73,17.15,36.0,2024-08-28,0,Active
LN000317,CUST00011,Education,320834.73,18.92,12.0,2025-06-19,29,Active
LN000318,CUST00613,Education,162708.27,13.32,60.0,2024-07-19,23,Active
LN000319,CUST00395,Auto,390110.62,11.5,6.0,2025-02-21,27,Active
LN000320,CUST00440,Education,1040444.19,9.79,18.0,2026-03-14,0,Active
LN000321,CUST00868,Business,180628.25,17.44,24.0,2024-06-26,35,Active
LN000322,CUST01052,Auto,22902.65,20.91,48.0,2026-02-01,0,Closed
LN000323,CUST00244,Personal,39245.36,13.52,6.0,2025-04-09,0,Active
LN000324,CUST00767,Personal,941978.22,21.34,24.0,2025-08-04,35,Active
LN000325,CUST00581,Business,95025.94,11.89,60.0,2025-11-26,0,Active
LN000326,CUST00635,Business,34548.4,11.75,18.0,2025-02-23,0,Active
LN000327,CUST00944,Auto,1114151.04,15.33,24.0,2024-07-18,41,Closed
LN000328,CUST00810,Business,190876.46,10.87,6.0,2024-11-25,21,Closed
LN000329,CUST00633,Education,47770.66,16.35,6.0,2024-08-10,0,Active
LN000330,CUST01069,Education,76759.84,18.74,24.0,2024-04-24,64,Active
LN000331,CUST00422,Education,56724.49,21.28,48.0,2024-02-03,0,Active
LN000332,CUST00048,Business,590420.39,14.93,12.0,2025-03-11,0,Active
LN000333,CUST01110,Auto,84680.18,11.01,12.0,2025-08-13,0,Closed
LN000334,CUST00667,Personal,63103.41,9.46,48.0,2026-05-05,0,Closed
LN000335,CUST00248,Education,28970.99,14.03,12.0,2025-11-06,16,Active
LN000336,CUST00652,Personal,1027617.22,17.86,24.0,2024-11-12,0,Active
LN000337,CUST00208,Auto,120245.97,20.32,36.0,2024-04-11,0,Active
LN000338,CUST00292,Auto,446596.05,9.01,24.0,2024-11-25,0,Active
LN000339,CUST00952,Auto,5000.52,14.12,48.0,2025-08-09,0,Active
LN000340,CUST00779,Auto,207366.14,11.55,48.0,2024-01-21,17,Active
LN000341,CUST00184,Auto,469139.64,8.52,6.0,2024-06-16,9,Active
LN000342,CUST00702,Business,15093.21,17.45,60.0,2025-09-07,0,Active
LN000343,CUST00673,Personal,116446.52,12.59,12.0,2024-06-23,1,Active
LN000344,CUST01002,Personal,898252.4,10.95,6.0,2024-11-27,0,Active
LN000346,CUST00911,Personal,118052.27,17.42,48.0,2025-10-18,52,Active
LN000347,CUST00621,Business,36919.44,10.76,12.0,2025-10-18,100,Active
LN000348,CUST00402,Home,47849.98,9.07,6.0,2025-04-22,16,Active
LN000349,CUST01158,Auto,54492.4,18.14,36.0,2026-03-27,5,Active
LN000350,CUST00562,Personal,118670.69,15.37,24.0,2024-01-15,227,Written Off
LN000351,CUST00875,Personal,42237.78,17.91,48.0,2024-07-12,41,Active
LN000352,CUST00956,Personal,634801.95,17.88,36.0,2025-05-27,68,Closed
LN000353,CUST00803,Education,114767.54,19.4,6.0,2025-06-24,54,Active
LN000354,CUST00404,Personal,45381.28,21.71,18.0,2025-06-29,4,Closed
LN000355,CUST00685,Business,886228.35,16.09,6.0,2025-09-21,0,Active
LN000356,CUST00150,Personal,22123.3,10.7,24.0,2024-09-05,19,Active
LN000357,CUST00134,Business,122206.73,8.84,60.0,2026-03-30,0,Active
LN000358,CUST00107,Business,161988.88,21.6,24.0,2024-01-13,0,Active
