transaction_id,loan_id,payment_date,amount_paid,payment_method
TXN0000088,LN000014,2025-04-06,20931.13,NACH
TXN0000089,LN000014,2025-01-09,27950.65,Cash
TXN0000090,LN000014,2025-11-15,19214.0,NEFT
TXN0000091,LN000014,2025-10-04,23204.8,NACH
TXN0000092,LN000014,2024-12-27,19243.53,UPI
TXN0000093,LN000015,2025-08-19,12586.35,Cash
TXN0000094,LN000015,2026-03-18,12674.81,UPI
TXN0000095,LN000016,2026-05-11,48552.61,UPI
TXN0000096,LN000016,2026-03-06,44589.61,Cheque
TXN0000097,LN000016,2024-12-31,49697.07,NEFT
TXN0000098,LN000016,2024-09-14,55884.67,Cash
TXN0000099,LN000016,2025-03-30,58187.87,NEFT
TXN0000100,LN000016,2025-11-05,52925.24,Cheque
TXN0000101,LN000017,2025-04-20,3372.14,NEFT
TXN0000102,LN000017,2025-03-03,2865.35,NEFT
TXN0000103,LN000017,2025-11-05,2978.26,Cash
TXN0000104,LN000017,2025-08-29,2814.93,NACH
TXN0000105,LN000017,2026-02-13,2928.73,NEFT
TXN0000106,LN000017,2025-02-05,2896.95,NEFT
TXN0000107,LN000018,2024-11-11,31044.42,Cash
TXN0000108,LN000018,2026-01-17,31577.22,NEFT
TXN0000109,LN000018,2024-08-21,36287.38,Cash
TXN0000110,LN000018,2024-12-05,27053.63,UPI
TXN0000111,LN000018,2026-04-01,32550.49,Cheque
TXN0000112,LN000018,2024-08-22,34714.02,Cheque
TXN0000113,LN000019,2025-11-10,7958.33,UPI
TXN0000114,LN000019,2025-06-14,7009.52,NACH
TXN0000115,LN000019,2025-10-13,7032.98,NEFT
TXN0000116,LN000019,2025-05-28,6338.88,NACH
TXN0000117,LN000020,2025-09-05,58803.58,Cash
TXN0000118,LN000020,2025-05-28,70004.96,UPI
TXN0000119,LN000020,2024-09-21,52224.81,NEFT
TXN0000120,LN000020,2026-04-07,56606.23,Cash
TXN0000121,LN000020,2024-10-14,69026.25,NACH
TXN0000122,LN000021,2026-06-17,5286.47,UPI
TXN0000123,LN000021,2024-08-19,4664.61,NACH
TXN0000124,LN000021,2024-09-07,5125.79,Cheque
TXN0000125,LN000021,2025-08-27,4536.62,Cheque
TXN0000126,LN000021,2026-05-02,4103.4,NEFT
TXN0000127,LN000021,2025-02-17,4556.0,Cash
TXN0000128,LN000022,2024-11-02,3515.86,UPI
TXN0000129,LN000022,2024-09-16,4017.47,UPI
TXN0000130,LN000022,2026-06-01,2819.2,UPI
TXN0000131,LN000023,2026-05-31,4534.74,NEFT
TXN0000132,LN000023,2025-12-21,4211.96,NACH
TXN0000133,LN000023,2025-06-09,4536.4,Cash
TXN0000134,LN000023,2025-06-09,3660.46,Cash
TXN0000135,LN000023,2026-06-29,4183.22,UPI
TXN0000136,LN000023,2025-10-27,5099.87,Cheque
TXN0000137,LN000024,2026-02-13,2118.73,UPI
TXN0000138,LN000025,2025-09-28,33701.83,NEFT
TXN0000139,LN000025,2025-11-29,31431.86,Cash
TXN0000140,LN000025,2025-04-25,31604.01,Cash
TXN0000141,LN000025,2026-03-26,32773.79,Cash
TXN0000142,LN000026,2026-01-28,18488.14,Cheque
TXN0000143,LN000026,2025-09-23,19346.46,Cheque
TXN0000144,LN000026,2025-10-22,15900.22,Cheque
TXN0000145,LN000026,2025-05-22,15604.84,Cheque
TXN0000146,LN000026,2025-06-10,18559.73,NACH
TXN0000147,LN000026,2025-02-14,15823.61,UPI
TXN0000148,LN000027,2025-06-30,26207.83,Cash
TXN0000149,LN000027,2025-07-01,22910.55,NEFT
TXN0000150,LN000027,2025-02-18,28174.27,Cash
TXN0000151,LN000027,2026-03-28,26002.13,Cheque
TXN0000152,LN000027,2024-12-17,28847.24,Cheque
TXN0000153,LN000027,2025-07-23,28556.6,Cheque
TXN0000154,LN000027,2025-11-29,22746.88,Cheque
TXN0000155,LN000027,2025-10-12,27888.09,NEFT
TXN0000157,LN000027,2025-03-07,24093.23,UPI
TXN0000158,LN000029,2025-09-21,2938.53,Cash
TXN0000159,LN000029,2025-06-13,2708.63,Cash
TXN0000160,LN000029,2026-01-29,3314.94,Cheque
TXN0000161,LN000029,2024-11-05,3181.75,Cash
TXN0000162,LN000029,2025-08-10,3455.61,UPI
TXN0000163,LN000029,2026-06-22,2959.41,Cheque
TXN0000164,LN000030,2025-04-05,3106.5,Cash
TXN0000165,LN000030,2025-01-20,2452.64,UPI
TXN0000166,LN000030,2025-06-13,2418.61,NEFT
TXN0000167,LN000030,2024-12-29,2694.84,Cash
TXN0000168,LN000031,2024-11-11,73489.7,NACH
TXN0000169,LN000031,2025-10-17,65144.32,UPI
TXN0000170,LN000031,2026-01-07,66814.06,NACH
TXN0000171,LN000031,2024-12-16,63809.72,NACH
TXN0000172,LN000032,2024-08-12,19747.21,Cash
TXN0000173,LN000032,2025-08-26,20122.25,UPI
TXN0000174,LN000032,2026-05-07,17886.64,Cash
TXN0000175,LN000032,2026-06-28,19715.45,UPI
TXN0000176,LN000032,2024-08-27,19874.15,UPI
TXN0000177,LN000032,2026-04-18,15532.68,Cheque
TXN0000178,LN000032,2025-12-12,21546.66,NACH
TXN0000179,LN000032,2025-12-13,20492.31,NACH
TXN0000180,LN000032,2025-07-22,16013.63,Cheque
TXN0000181,LN000032,2025-07-31,15880.56,UPI
TXN0000182,LN000033,2025-09-07,630.72,UPI
TXN0000183,LN000033,2026-05-24,634.49,NACH
TXN0000184,LN000034,2024-11-05,94132.96,NEFT
TXN0000185,LN000034,2025-05-15,84593.22,Cash
TXN0000186,LN000034,2025-01-15,95324.02,UPI
TXN0000187,LN000034,2025-09-19,94067.64,NACH
TXN0000188,LN000034,2024-11-06,89215.96,UPI
TXN0000189,LN000034,2025-06-14,92016.28,Cash
TXN0000190,LN000034,2024-08-20,69134.86,NEFT
TXN0000191,LN000034,2026-03-06,79185.46,UPI
TXN0000192,LN000034,2025-11-14,90353.49,NEFT
TXN0000193,LN000034,2026-01-03,68826.22,Cheque
TXN0000194,LN000034,2026-03-03,69635.68,UPI
TXN0000195,LN000034,2025-10-13,97685.89,Cheque
TXN0000196,LN000035,2025-07-24,27532.9,UPI
TXN0000197,LN000035,2025-05-17,23238.31,Cheque
TXN0000198,LN000035,2025-04-03,27573.3,Cash
TXN0000199,LN000035,2024-11-10,28645.2,NEFT
TXN0000200,LN000035,2026-01-03,23663.25,NACH
TXN0000201,LN000036,2025-10-20,1528.28,Cash
TXN0000202,LN000036,2025-03-03,2201.39,UPI
TXN0000203,LN000036,2024-09-16,1760.33,Cheque
TXN0000204,LN000036,2025-11-05,1581.16,Cheque
TXN0000205,LN000036,2025-07-23,1870.43,UPI
TXN0000206,LN000036,2025-05-13,2078.06,Cheque
TXN0000207,LN000037,2025-09-30,465.23,Cash
TXN0000208,LN000037,2026-01-20,475.25,Cheque
TXN0000209,LN000038,2026-04-29,632.41,NEFT
TXN0000210,LN000038,2026-03-15,843.61,Cheque
TXN0000211,LN000038,2025-11-18,619.63,UPI
TXN0000212,LN000038,2025-06-16,726.26,UPI
TXN0000213,LN000038,2025-09-26,824.88,Cash
TXN0000214,LN000038,2025-11-04,605.39,Cheque
TXN0000215,LN000038,2025-05-09,837.73,UPI
TXN0000216,LN000038,2024-11-17,831.14,NEFT
TXN0000217,LN000038,2026-01-24,813.4,Cheque
TXN0000218,LN000039,2025-02-10,245.86,NEFT
TXN0000219,LN000039,2025-03-01,292.43,NACH
TXN0000220,LN000039,2024-09-08,306.51,Cash
TXN0000221,LN000039,2024-12-17,331.51,UPI
TXN0000222,LN000039,2024-08-24,242.07,Cheque
TXN0000223,LN000039,2025-04-17,307.08,UPI
TXN0000224,LN000039,2026-03-19,259.65,Cash
TXN0000225,LN000040,2025-03-06,1223.69,NEFT
TXN0000226,LN000040,2024-12-18,1361.91,NACH
TXN0000227,LN000040,2025-11-13,1571.4,NEFT
TXN0000228,LN000040,2025-01-19,1386.36,UPI
TXN0000229,LN000040,2025-10-23,1427.24,NACH
TXN0000230,LN000040,2026-02-17,1684.64,Cash
TXN0000231,LN000040,2026-06-26,1349.39,NACH
TXN0000232,LN000040,2025-02-22,1471.04,NEFT
TXN0000233,LN000040,2026-02-07,1330.34,Cash
TXN0000234,LN000040,2026-03-02,1345.83,UPI
TXN0000235,LN000041,2025-12-11,310.33,NEFT
TXN0000236,LN000041,2025-04-04,338.22,Cash
TXN0000237,LN000041,2026-02-03,292.68,NEFT
TXN0000238,LN000041,2025-05-29,318.7,Cheque
TXN0000239,LN000041,2025-12-17,240.51,NEFT
TXN0000240,LN000041,2024-11-08,254.55,NEFT
TXN0000241,LN000041,2025-11-22,288.05,Cash
TXN0000242,LN000042,2026-04-10,7158.36,NACH
TXN0000243,LN000042,2025-06-03,7983.49,Cheque
TXN0000244,LN000042,2025-05-07,8920.97,Cash
TXN0000245,LN000042,2024-08-01,7140.46,NEFT
TXN0000246,LN000042,2024-10-24,8024.92,NACH
TXN0000247,LN000042,2026-03-12,8909.03,UPI
TXN0000248,LN000042,2026-06-02,9118.53,NACH
TXN0000249,LN000042,2024-11-26,10368.05,NEFT
TXN0000250,LN000042,2026-04-08,9374.37,UPI
TXN0000251,LN000042,2025-09-25,8557.15,UPI
TXN0000252,LN000042,2025-02-22,10384.35,UPI
TXN0000253,LN000043,2025-09-15,47640.91,NACH
TXN0000254,LN000043,2025-10-02,37635.49,NACH
TXN0000255,LN000046,2025-02-10,1563.89,NEFT
TXN0000256,LN000046,2025-10-16,1963.86,NEFT
TXN0000257,LN000046,2025-09-14,1878.77,NEFT
TXN0000258,LN000046,2024-08-26,2047.42,NACH
TXN0000259,LN000046,2025-08-15,2010.09,UPI
TXN0000260,LN000046,2025-01-04,1926.72,NEFT
TXN0000261,LN000046,2025-04-29,2191.79,NACH
TXN0000262,LN000047,2026-04-17,4360.64,NEFT
TXN0000263,LN000048,2026-02-26,332.03,UPI
TXN0000264,LN000048,2025-07-28,444.4,Cheque
TXN0000265,LN000048,2026-04-30,353.83,UPI
TXN0000266,LN000049,2025-02-26,2139.53,NEFT
TXN0000267,LN000051,2026-03-20,1672.59,UPI
TXN0000268,LN000051,2026-04-10,1525.35,Cheque
TXN0000269,LN000051,2026-04-03,1468.36,Cash
TXN0000270,LN000051,2026-03-22,1391.64,NEFT
TXN0000271,LN000051,2026-06-14,1337.35,UPI
TXN0000272,LN000051,2026-06-26,1330.9,UPI
TXN0000273,LN000051,2024-08-29,1491.18,NACH
TXN0000274,LN000051,2024-12-31,1556.17,Cash
TXN0000275,LN000051,2026-02-11,1515.02,Cash
TXN0000276,LN000051,2024-10-16,1243.46,UPI
TXN0000277,LN000052,2025-06-18,9777.92,Cash
TXN0000278,LN000052,2025-12-20,10944.9,NEFT
TXN0000279,LN000052,2026-04-10,9706.24,NACH
TXN0000280,LN000052,2024-10-09,9945.08,NACH
TXN0000281,LN000052,2024-11-16,10864.51,Cheque
TXN0000282,LN000052,2026-03-01,10433.75,Cheque
TXN0000283,LN000052,2025-10-30,9446.07,NACH
TXN0000284,LN000052,2026-05-09,11351.75,Cash
TXN0000285,LN000052,2024-08-22,8478.56,UPI
TXN0000286,LN000053,2025-07-13,14465.0,Cheque
TXN0000287,LN000053,2024-08-28,10231.69,Cash
TXN0000288,LN000053,2026-06-28,9729.96,UPI
TXN0000289,LN000053,2026-04-25,13955.56,Cash
TXN0000290,LN000053,2024-10-10,10840.62,Cheque
TXN0000291,LN000054,2025-04-20,82528.19,Cash
TXN0000292,LN000054,2024-10-26,84986.65,UPI
TXN0000293,LN000054,2026-03-14,86436.98,NEFT
TXN0000294,LN000054,2025-07-17,90446.17,Cash
TXN0000295,LN000054,2025-05-15,69356.7,UPI
TXN0000296,LN000054,2025-08-31,81939.96,UPI
TXN0000297,LN000055,2026-04-03,487.5,Cash
TXN0000298,LN000055,2024-08-30,554.66,Cheque
TXN0000299,LN000055,2025-06-04,656.33,NACH
TXN0000300,LN000055,2026-04-07,545.64,Cheque
TXN0000302,LN000055,2025-06-08,577.0,NEFT
TXN0000303,LN000055,2025-12-28,609.77,Cheque
TXN0000305,LN000055,2024-09-15,473.75,Cash
TXN0000306,LN000055,2024-08-11,593.18,Cheque
TXN0000307,LN000055,2026-03-20,659.8,Cash
TXN0000308,LN000056,2025-05-09,3322.7,UPI
TXN0000309,LN000056,2026-02-26,2783.25,Cheque
TXN0000310,LN000056,2026-02-07,3428.69,UPI
TXN0000311,LN000056,2026-01-02,3122.77,NEFT
TXN0000312,LN000056,2025-09-19,2885.58,Cash
TXN0000313,LN000056,2025-12-15,3815.0,Cheque
TXN0000314,LN000056,2025-08-30,3376.55,NACH
TXN0000315,LN000056,2024-12-10,3927.81,Cheque
TXN0000316,LN000057,2025-06-14,1653.65,NACH
TXN0000317,LN000057,2025-07-10,1587.03,NACH
TXN0000318,LN000057,2025-08-13,1181.61,UPI
TXN0000319,LN000057,2025-04-03,1430.77,UPI
TXN0000320,LN000058,2026-02-16,1054.99,NACH
TXN0000321,LN000058,2026-03-02,1397.44,Cheque
TXN0000322,LN000058,2026-05-20,1043.99,NEFT
TXN0000323,LN000058,2026-06-01,1097.51,UPI
TXN0000324,LN000058,2026-04-17,1208.3,NACH
TXN0000325,LN000058,2025-09-09,1086.61,Cheque
TXN0000326,LN000058,2025-07-25,1060.93,UPI
TXN0000327,LN000058,2026-03-25,1247.8,Cheque
TXN0000328,LN000058,2025-03-22,1002.87,Cheque
TXN0000329,LN000058,2024-12-14,988.1,NACH
TXN0000330,LN000059,2024-12-09,151783.19,NEFT
TXN0000331,LN000059,2025-07-13,174076.06,Cash
TXN0000332,LN000059,2026-06-05,163464.0,UPI
TXN0000333,LN000059,2026-03-04,155022.72,UPI
TXN0000334,LN000059,2024-10-03,164164.28,Cash
TXN0000335,LN000059,2025-10-28,151348.5,Cash
TXN0000336,LN000059,2025-07-26,187863.22,NEFT
TXN0000337,LN000059,2025-02-11,131478.82,Cheque
TXN0000338,LN000059,2026-06-09,171051.4,NEFT
TXN0000339,LN000059,2026-06-30,184992.71,Cash
TXN0000340,LN000059,2024-09-16,179400.74,NACH
TXN0000341,LN000060,2025-01-14,2143.56,NEFT
TXN0000342,LN000060,2025-06-09,2253.37,NACH
TXN0000343,LN000060,2025-04-26,2666.68,Cash
TXN0000344,LN000061,2025-06-15,476.51,Cash
TXN0000345,LN000061,2025-08-09,642.85,UPI
TXN0000346,LN000061,2025-11-14,621.6,Cash
TXN0000347,LN000061,2024-11-06,624.04,NEFT
TXN0000348,LN000061,2024-09-18,480.16,NACH
TXN0000349,LN000062,2025-05-18,4575.82,NEFT
TXN0000350,LN000062,2025-05-19,4511.93,Cheque
TXN0000351,LN000062,2025-02-05,4766.34,UPI
TXN0000352,LN000062,2026-06-21,3437.38,NEFT
TXN0000353,LN000062,2026-02-06,3406.25,Cheque
TXN0000354,LN000062,2026-06-26,3995.36,NACH
TXN0000355,LN000062,2026-02-21,3617.85,Cheque
TXN0000356,LN000062,2025-10-21,4307.48,Cash
TXN0000357,LN000062,2025-07-19,4911.86,Cheque
TXN0000358,LN000062,2024-11-09,4026.47,NACH
TXN0000359,LN000062,2024-12-01,4789.96,Cash
TXN0000360,LN000062,2025-06-18,3367.75,Cash
TXN0000361,LN000063,2025-11-16,7154.78,UPI
TXN0000362,LN000063,2024-10-24,6699.17,Cheque
TXN0000363,LN000063,2026-04-07,7681.47,Cheque
TXN0000364,LN000063,2026-02-08,9595.26,NEFT
TXN0000365,LN000064,2026-02-07,14134.09,NEFT
TXN0000366,LN000065,2024-10-06,146473.79,NEFT
TXN0000367,LN000065,2025-02-18,137768.02,Cheque
TXN0000368,LN000065,2026-02-16,165134.65,NACH
TXN0000369,LN000065,2024-12-23,119280.33,UPI
TXN0000370,LN000065,2025-10-27,124310.5,NEFT
TXN0000371,LN000065,2024-10-20,114055.24,UPI
TXN0000372,LN000065,2026-06-25,136781.15,Cash
TXN0000373,LN000065,2025-07-02,128008.58,NACH
TXN0000374,LN000065,2025-11-06,161281.62,NEFT
TXN0000375,LN000065,2025-01-02,146391.24,Cheque
TXN0000376,LN000065,2025-04-28,146905.44,NACH
TXN0000377,LN000065,2024-11-17,142287.13,UPI
TXN0000378,LN000066,2025-11-11,1300.61,Cash
TXN0000379,LN000066,2026-04-28,1520.19,NACH
TXN0000380,LN000066,2024-11-12,1864.94,Cheque
TXN0000381,LN000066,2025-12-24,1762.81,Cheque
TXN0000382,LN000066,2025-09-16,1799.01,Cash
TXN0000383,LN000066,2025-07-03,1755.34,NEFT
TXN0000384,LN000066,2024-11-14,1307.57,NEFT
TXN0000385,LN000066,2026-06-30,1384.92,Cheque
TXN0000386,LN000066,2025-11-20,1245.44,UPI
TXN0000387,LN000066,2025-06-01,1432.21,Cash
TXN0000388,LN000067,2025-09-12,3525.9,Cheque
TXN0000389,LN000067,2025-09-09,4134.87,UPI
TXN0000390,LN000068,2024-10-09,646.33,Cheque
TXN0000391,LN000068,2024-08-06,693.98,NEFT
TXN0000392,LN000069,2024-08-13,2620.11,Cash
TXN0000393,LN000069,2025-04-26,2800.59,Cash
TXN0000394,LN000070,2025-03-05,82.53,Cash
TXN0000395,LN000070,2024-11-18,80.85,UPI
TXN0000396,LN000070,2024-09-05,106.93,Cheque
TXN0000397,LN000070,2024-08-21,91.99,NACH
TXN0000398,LN000070,2026-01-22,90.55,UPI
TXN0000399,LN000070,2025-05-26,93.66,Cash
TXN0000400,LN000070,2025-04-04,91.2,NACH
TXN0000401,LN000070,2024-09-21,100.91,Cash
TXN0000402,LN000070,2026-01-27,98.05,UPI
TXN0000403,LN000070,2025-07-01,100.95,NEFT
TXN0000404,LN000070,2025-06-08,107.39,NEFT
TXN0000405,LN000071,2025-05-02,8621.81,UPI
TXN0000406,LN000071,2025-09-11,8131.25,UPI
TXN0000407,LN000071,2026-05-20,7823.86,NACH
TXN0000408,LN000071,2025-07-21,8485.81,UPI
TXN0000409,LN000071,2026-01-29,9902.83,UPI
TXN0000410,LN000071,2026-02-04,9956.64,Cheque
TXN0000411,LN000072,2025-02-01,3230.37,Cash
TXN0000412,LN000072,2025-02-25,2706.03,NEFT
TXN0000413,LN000072,2024-08-25,3134.9,NEFT
TXN0000414,LN000072,2025-05-04,3113.82,Cheque
TXN0000415,LN000072,2025-07-16,3009.14,UPI
TXN0000416,LN000072,2026-03-26,3088.74,NACH
TXN0000417,LN000072,2026-05-30,3018.26,Cash
TXN0000418,LN000072,2025-04-18,3107.49,Cash
TXN0000419,LN000072,2025-11-17,3289.24,Cheque
TXN0000420,LN000072,2025-12-25,2555.35,Cheque
TXN0000421,LN000072,2025-10-19,3330.57,Cash
TXN0000422,LN000073,2025-08-13,1141.67,Cash
TXN0000423,LN000073,2025-10-07,1104.65,NEFT
TXN0000424,LN000073,2025-04-20,1590.76,UPI
TXN0000425,LN000073,2024-11-16,1580.56,Cheque
TXN0000426,LN000073,2026-06-08,1101.34,Cheque
TXN0000427,LN000073,2026-06-25,1305.96,Cash
TXN0000428,LN000073,2025-04-28,1168.58,Cheque
TXN0000429,LN000074,2026-02-04,10940.09,NACH
TXN0000430,LN000074,2025-03-29,12457.98,Cash
TXN0000431,LN000075,2025-08-07,17329.26,NACH
TXN0000432,LN000075,2025-11-22,15471.25,Cheque
TXN0000433,LN000075,2026-02-09,13824.74,NACH
TXN0000434,LN000075,2025-04-09,15289.61,Cheque
TXN0000435,LN000076,2025-09-04,401.58,Cash
TXN0000436,LN000076,2024-08-15,505.42,NACH
TXN0000437,LN000076,2025-02-11,498.57,NEFT
TXN0000438,LN000076,2025-06-13,444.35,NACH
TXN0000439,LN000077,2026-05-08,785.74,Cash
TXN0000440,LN000077,2024-10-13,775.12,NEFT
TXN0000441,LN000077,2024-12-09,687.26,UPI
TXN0000442,LN000077,2024-09-08,951.69,UPI
TXN0000443,LN000077,2025-09-27,828.18,Cheque
TXN0000444,LN000077,2025-02-16,785.85,Cash
TXN0000445,LN000077,2025-05-22,835.19,UPI
TXN0000447,LN000077,2026-04-23,718.08,UPI
TXN0000448,LN000077,2026-06-03,965.83,NACH
TXN0000449,LN000077,2025-01-16,979.3,Cheque
TXN0000450,LN000078,2025-10-14,54452.28,NEFT
TXN0000451,LN000078,2025-11-25,44303.24,Cash
TXN0000452,LN000078,2025-06-05,40970.59,NACH
TXN0000453,LN000078,2024-12-24,43862.56,NEFT
TXN0000454,LN000078,2024-09-15,43109.94,NACH
TXN0000455,LN000078,2025-07-22,40213.2,Cheque
TXN0000456,LN000078,2025-04-11,48179.74,NEFT
TXN0000457,LN000079,2025-04-27,2911.98,Cheque
TXN0000458,LN000079,2026-03-06,3369.45,UPI
TXN0000459,LN000079,2026-03-27,2389.33,NEFT
TXN0000460,LN000079,2024-08-31,3108.62,NACH
TXN0000461,LN000079,2025-09-05,3248.64,Cash
TXN0000462,LN000079,2025-01-03,3244.57,NACH
TXN0000463,LN000080,2025-01-25,95478.57,NEFT
TXN0000464,LN000080,2026-05-25,90283.29,Cheque
TXN0000465,LN000080,2025-09-15,96859.31,NACH
TXN0000466,LN000080,2025-05-11,77170.14,Cash
TXN0000467,LN000080,2025-11-24,82812.45,Cheque
TXN0000468,LN000080,2026-03-17,66630.81,Cheque
TXN0000469,LN000080,2025-08-17,66395.2,Cash
TXN0000470,LN000080,2025-12-11,74109.01,NACH
TXN0000471,LN000080,2025-05-14,69499.98,NEFT
TXN0000472,LN000081,2026-03-10,5511.19,Cash
TXN0000473,LN000081,2025-10-05,5308.4,NACH
TXN0000474,LN000081,2026-05-23,4946.25,UPI
TXN0000475,LN000081,2024-08-27,7093.91,NACH
TXN0000476,LN000081,2024-12-05,4896.75,UPI
TXN0000477,LN000081,2026-03-27,6671.53,NACH
TXN0000478,LN000081,2025-04-22,5247.69,NEFT
TXN0000479,LN000081,2024-11-25,7101.04,NEFT
TXN0000480,LN000082,2025-07-01,1602.09,NEFT
TXN0000481,LN000082,2024-08-20,1469.78,UPI
TXN0000482,LN000082,2026-05-19,1479.93,Cheque
TXN0000483,LN000082,2024-12-28,1110.59,UPI
TXN0000484,LN000082,2024-09-09,1653.08,NEFT
TXN0000485,LN000082,2025-07-30,1593.8,Cash
TXN0000486,LN000082,2025-10-21,1603.36,Cheque
TXN0000487,LN000082,2024-11-15,1472.74,NEFT
TXN0000488,LN000083,2026-01-18,6616.37,Cash
TXN0000489,LN000083,2025-03-08,8165.11,Cash
TXN0000490,LN000083,2024-08-02,6466.05,Cheque
TXN0000491,LN000083,2025-04-21,7231.29,Cash
TXN0000492,LN000083,2025-11-29,5924.88,NACH
TXN0000493,LN000085,2026-01-26,1159.3,NEFT
TXN0000494,LN000086,2025-12-29,196.95,Cash
TXN0000495,LN000086,2024-12-04,204.69,UPI
TXN0000496,LN000086,2025-06-16,235.35,NACH
TXN0000497,LN000086,2025-01-16,254.3,Cheque
TXN0000498,LN000086,2025-10-29,240.98,NACH
TXN0000499,LN000086,2025-12-17,205.36,NACH
